id,url,speaker,title,date
2,https://www.ted.com/talks/natsai_audrey_chieza_fashion_has_a_pollution_problem_can_biology_fix_it,Natsai Audrey Chieza,Fashion has a pollution problem — can biology fix it?,Nov 2017
2,https://www.ted.com/talks/matilda_ho_the_future_of_good_food_in_china,Matilda Ho,The future of good food in China,Nov 2017
2,https://www.ted.com/talks/keller_rinaudo_how_we_re_using_drones_to_deliver_blood_and_save_lives,Keller Rinaudo,How we're using drones to deliver blood and save lives,Nov 2017
2,https://www.ted.com/talks/elizabeth_blackburn_the_science_of_cells_that_never_get_old,Elizabeth Blackburn,The science of cells that never get old,Nov 2017
2,https://www.ted.com/talks/leah_chase_and_pat_mitchell_an_interview_with_the_queen_of_creole_cuisine,Leah Chase and Pat Mitchell,An interview with the Queen of Creole Cuisine,Nov 2017
2,https://www.ted.com/talks/mariano_sigman_and_dan_ariely_how_can_groups_make_good_decisions,Mariano Sigman and Dan Ariely,How can groups make good decisions?,Nov 2017
2,https://www.ted.com/talks/sarah_corbett_activism_needs_introverts,Sarah Corbett,Activism needs introverts,Nov 2017
2,https://www.ted.com/talks/scott_galloway_how_amazon_apple_facebook_and_google_manipulate_our_emotions,Scott Galloway,How Amazon, Apple, Facebook and Google manipulate our emotions,Nov 2017
2,https://www.ted.com/talks/niti_bhan_the_hidden_opportunities_of_the_informal_economy,Niti Bhan,The hidden opportunities of the informal economy,Nov 2017
2,https://www.ted.com/talks/per_espen_stoknes_how_to_transform_apocalypse_fatigue_into_action_on_global_warming,Per Espen Stoknes,How to transform apocalypse fatigue into action on global warming,Nov 2017
2,https://www.ted.com/talks/kayla_briet_why_do_i_make_art_to_build_time_capsules_for_my_heritage,Kayla Briët,Why do I make art? To build time capsules for my heritage,Nov 2017
2,https://www.ted.com/talks/christen_reighter_i_don_t_want_children_stop_telling_me_i_ll_change_my_mind,Christen Reighter,I don't want children — stop telling me I'll change my mind,Nov 2017
2,https://www.ted.com/talks/beth_malone_how_my_dad_s_dementia_changed_my_idea_of_death_and_life,Beth Malone,How my dad's dementia changed my idea of death (and life),Nov 2017
2,https://www.ted.com/talks/david_titley_how_the_military_fights_climate_change,David Titley,How the military fights climate change,Nov 2017
2,https://www.ted.com/talks/lloyd_pendleton_the_housing_first_approach_to_homelessness,Lloyd Pendleton,The Housing First approach to homelessness,Nov 2017
2,https://www.ted.com/talks/jackson_bird_how_to_talk_and_listen_to_transgender_people,Jackson Bird,How to talk (and listen) to transgender people,Nov 2017
2,https://www.ted.com/talks/teresa_njoroge_what_i_learned_serving_time_for_a_crime_i_didn_t_commit,Teresa Njoroge,What I learned serving time for a crime I didn't commit,Nov 2017
2,https://www.ted.com/talks/victoria_pratt_how_judges_can_show_respect,Victoria Pratt,How judges can show respect,Nov 2017
2,https://www.ted.com/talks/robert_muggah_the_biggest_risks_facing_cities_and_some_solutions,Robert Muggah,The biggest risks facing cities — and some solutions,Nov 2017
2,https://www.ted.com/talks/jon_bowers_we_should_aim_for_perfection_and_stop_fearing_failure,Jon Bowers,We should aim for perfection — and stop fearing failure,Nov 2017
2,https://www.ted.com/talks/ameenah_gurib_fakim_an_interview_with_mauritius_s_first_female_president,Ameenah Gurib-Fakim and Stephanie Busari,An interview with Mauritius's first female president,Nov 2017
2,https://www.ted.com/talks/paul_hessburg_why_wildfires_have_gotten_worse_and_how_we_can_stop_them,Paul Hessburg,Why wildfires have gotten worse — and what we can do about it,Nov 2017
2,https://www.ted.com/talks/ines_hercovich_why_women_stay_silent_after_sexual_assault,Inés Hercovich,Why women stay silent after sexual assault,Nov 2017
2,https://www.ted.com/talks/washington_wachira_for_the_love_of_birds,Washington Wachira,For the love of birds,Nov 2017
2,https://www.ted.com/talks/gretchen_carlson_how_we_can_end_sexual_harassment_at_work,Gretchen Carlson,How we can end sexual harassment at work,Nov 2017
2,https://www.ted.com/talks/amel_karboul_the_global_learning_crisis_and_what_to_do_about_it,Amel Karboul,The global learning crisis — and what to do about it,Nov 2017
2,https://www.ted.com/talks/giulia_enders_the_surprisingly_charming_science_of_our_gut,Giulia Enders,The surprisingly charming science of your gut,Nov 2017
2,https://www.ted.com/talks/nnedi_okorafor_sci_fi_stories_that_imagine_a_future_africa,Nnedi Okorafor,Sci-fi stories that imagine a future Africa,Nov 2017
2,https://www.ted.com/talks/lauren_sallan_how_to_win_at_evolution_and_survive_a_mass_extinction,Lauren Sallan,How to win at evolution and survive a mass extinction,Oct 2017
2,https://www.ted.com/talks/tim_kruger_can_we_stop_climate_change_by_removing_co2_from_the_air,Tim Kruger,Can we stop climate change by removing CO2 from the air?,Oct 2017
2,https://www.ted.com/talks/shonda_rhimes_and_cyndi_stivers_the_future_of_storytelling,Shonda Rhimes and Cyndi Stivers,The future of storytelling,Oct 2017
3,https://www.ted.com/talks/zeynep_tufekci_we_re_building_a_dystopia_just_to_make_people_click_on_ads,Zeynep Tufekci,We're building a dystopia just to make people click on ads,Oct 2017
3,https://www.ted.com/talks/cynthia_erivo_natural_woman_and_johnny_and_donna,Cynthia Erivo and Jason Webb,"Natural Woman" and "Johnny and Donna",Oct 2017
3,https://www.ted.com/talks/carlos_bautista_the_awful_logic_of_land_mines_and_an_app_that_helps_people_avoid_them,Carlos Bautista,The awful logic of land mines — and an app that helps people avoid them,Oct 2017
